Date,SPY,QQQ,SPY_daily_returns,SPY_10_day_returns,SPY_21_day_returns,SPY_rolling_std,SPY_ts_mom,QQQ_daily_returns,QQQ_10_day_returns,QQQ_21_day_returns,QQQ_rolling_std,QQQ_ts_mom
2021/3/24,382.4839,310.3832,-0.005083263079283751,-0.002030203881417947,0.003326462334457325,0.011896349776614567,0.27962042113088925,-0.016865283931940867,0.004450370216952271,-0.028668656376381274,0.020614644703721867,-1.3906936931687839
2021/3/25,384.6355,309.8458,0.005625334818014416,-0.006489766187607993,-0.0020263792546505455,0.011708397077246921,-0.17307059551203932,-0.0017314081432242556,-0.019862718817783787,-0.03827819511065622,0.020501226506027117,-1.8671173209760346
2021/3/26,390.8339,314.4935,0.01611499718564735,0.008162883116387354,0.039093705999208916,0.01083130821359435,3.609324490474982,0.015000041956353627,0.002975822202038181,0.011408082813039622,0.019316334051653842,0.5905925411381501
2021/3/29,390.6365,314.404,-0.0005050738945624467,0.0016800805577088518,0.04394808540546746,0.010727332253456533,4.096832685620101,-0.0002845845780595768,-0.00790792088986747,0.00690380059715312,0.019300813696498432,0.3576947949301025
2021/3/30,389.6002,312.8215,-0.0026528499000990635,0.0002844750075354785,0.016537512197921878,0.009486116108124698,1.743338581293326,-0.005033332909250454,-0.01828999628431982,-0.02742153217838239,0.018093591292548637,-1.5155383878752262
2021/3/31,391.1794,317.6086,0.004053386009555515,0.0009260076634234338,0.028685046702183303,0.00929792793914922,3.0851009913083978,0.015302976297984605,-0.00735400748089754,0.003557540427960193,0.018098205724490307,0.19656868101273517
2021/4/1,395.4037,323.0227,0.01079888153619546,0.026672728670126045,0.0537512019153894,0.00887661897475627,6.055368836743979,0.017046452772374376,0.04146781832661106,0.051169824239183814,0.01712936416561483,2.987257655593614
2021/4/5,401.079,329.4718,0.01435317878917175,0.04333975688988878,0.08226888463802018,0.008541956476765268,9.631152401887954,0.01996485076745369,0.05852897179927408,0.08999605649011722,0.016960464067229786,5.306226063943815
2021/4/6,400.8421,329.2429,-0.0005906567035421917,0.03446326079775375,0.06209081141521722,0.007901257712798017,7.858345300476149,-0.0006947483821072575,0.038322740688716994,0.07307741446810079,0.016806051031429504,4.3482799339021705
2021/4/7,401.306,330.0391,0.0011573135656159916,0.04387676455585421,0.0686404130700784,0.007706293397658189,8.907059403024682,0.002418275382703783,0.04539452157802937,0.10701634399845172,0.015154252593043498,7.0618028399221195
